,country,age,gender,marital_status,education_level,heard_of_mobile_money
483,nigeria,24.0,1,1,11,2
484,nigeria,35.0,2,2,5,2
485,nigeria,30.0,2,7,8,2
486,nigeria,48.0,1,7,5,2
487,nigeria,19.0,1,1,4,2
488,nigeria,22.0,1,1,5,2
489,nigeria,51.0,1,7,5,2
490,nigeria,75.0,1,2,3,2
491,nigeria,38.0,1,1,5,1
492,nigeria,21.0,2,1,10,1
493,nigeria,18.0,1,1,5,1
494,nigeria,56.0,1,3,7,1
495,nigeria,22.0,2,1,5,2
496,nigeria,18.0,1,1,4,2
497,nigeria,35.0,1,2,3,1
498,nigeria,27.0,2,1,5,1
499,nigeria,42.0,2,1,5,1
500,nigeria,27.0,2,1,8,1
501,nigeria,25.0,2,1,8,1
502,nigeria,36.0,2,2,6,2
503,nigeria,30.0,1,1,11,1
504,nigeria,18.0,1,1,5,2
505,nigeria,28.0,2,2,5,2
506,nigeria,33.0,1,1,9,2
507,nigeria,23.0,2,1,5,2
508,nigeria,51.0,2,1,6,1
509,nigeria,44.0,1,7,5,2
510,nigeria,32.0,1,7,5,2
511,nigeria,18.0,1,1,5,2
512,nigeria,51.0,1,7,5,2
513,nigeria,53.0,1,2,5,2
514,nigeria,20.0,2,1,10,2
515,nigeria,19.0,2,1,5,2
516,nigeria,30.0,1,1,12,1
517,nigeria,16.0,1,1,5,2
518,nigeria,28.0,1,1,5,1
519,nigeria,30.0,1,1,6,2
520,nigeria,31.0,1,3,11,2
521,nigeria,27.0,1,1,5,2
522,nigeria,23.0,1,1,10,1
523,nigeria,21.0,1,1,5,2
524,nigeria,27.0,1,1,6,2
525,nigeria,19.0,2,1,5,2
526,nigeria,46.0,1,1,3,2
527,nigeria,25.0,1,1,4,1
528,nigeria,25.0,2,1,4,2
529,nigeria,19.0,2,1,5,2
530,nigeria,26.0,2,1,5,2
531,nigeria,21.0,1,1,5,2
532,nigeria,45.0,2,2,5,2
533,nigeria,20.0,2,1,5,2
534,nigeria,42.0,2,3,4,1
535,nigeria,36.0,1,2,10,2
536,nigeria,35.0,1,7,3,1
537,nigeria,30.0,2,7,4,2
538,nigeria,22.0,2,1,5,2
539,nigeria,27.0,2,1,8,2
540,nigeria,27.0,2,2,5,2
541,nigeria,31.0,1,1,6,2
542,nigeria,20.0,2,1,10,2
543,nigeria,35.0,1,3,5,1
544,nigeria,25.0,2,5,12,2
545,nigeria,21.0,2,7,5,2
546,nigeria,25.0,2,1,10,2
547,nigeria,30.0,1,1,5,2
548,nigeria,24.0,1,2,5,2
549,nigeria,20.0,1,1,5,1
550,nigeria,37.0,1,3,7,2
551,nigeria,27.0,1,2,11,2
552,nigeria,55.0,1,3,3,1
553,nigeria,63.0,1,3,9,1
554,nigeria,57.0,2,3,9,2
555,nigeria,19.0,2,1,5,2
556,nigeria,27.0,2,1,7,1
557,nigeria,,2,3,5,2
558,nigeria,30.0,2,3,2,2
559,nigeria,35.0,1,7,12,1
560,nigeria,17.0,2,1,4,2
561,nigeria,20.0,1,1,5,2
562,nigeria,28.0,1,3,5,2
563,nigeria,32.0,1,1,5,2
564,nigeria,45.0,2,3,11,2
565,nigeria,22.0,1,1,9,2
566,nigeria,26.0,1,1,5,2
567,nigeria,20.0,1,1,3,2
568,nigeria,72.0,1,1,5,2
569,nigeria,36.0,1,3,1,2
570,nigeria,32.0,1,3,3,2
571,nigeria,35.0,1,1,3,2
572,nigeria,55.0,1,3,3,2
573,nigeria,60.0,2,3,1,2
574,nigeria,17.0,1,1,4,2
575,nigeria,20.0,1,1,5,2
576,nigeria,19.0,1,1,3,2
577,nigeria,80.0,1,2,1,2
578,nigeria,20.0,1,1,5,2
579,nigeria,22.0,1,1,5,2
580,nigeria,29.0,1,2,3,2
581,nigeria,30.0,1,1,10,2
582,nigeria,30.0,1,2,5,2
583,nigeria,20.0,2,3,13,2
584,nigeria,35.0,1,3,13,2
585,nigeria,52.0,1,3,6,2
586,nigeria,30.0,1,3,13,2
587,nigeria,26.0,1,3,9,2
588,nigeria,47.0,1,3,3,2
589,nigeria,39.0,1,3,5,2
590,nigeria,18.0,1,1,5,2
591,nigeria,43.0,1,1,9,2
592,nigeria,39.0,1,1,10,2
593,nigeria,15.0,1,1,4,2
594,nigeria,30.0,2,1,10,2
595,nigeria,55.0,1,2,1,2
596,nigeria,31.0,1,2,9,2
597,nigeria,24.0,1,1,8,2
598,nigeria,26.0,1,1,5,2
599,nigeria,25.0,2,2,3,2
600,nigeria,50.0,2,2,1,2
601,nigeria,50.0,2,2,3,2
602,nigeria,35.0,2,2,3,2
603,nigeria,40.0,2,2,2,2
604,nigeria,18.0,2,1,3,2
605,nigeria,20.0,2,1,2,2
606,nigeria,25.0,2,2,3,2
607,nigeria,20.0,2,2,13,2
608,nigeria,25.0,2,2,13,2
609,nigeria,32.0,2,3,13,2
610,nigeria,33.0,2,2,5,2
611,nigeria,21.0,2,3,1,2
612,nigeria,22.0,2,2,1,2
613,nigeria,25.0,2,2,1,2
614,nigeria,22.0,1,1,3,2
615,nigeria,60.0,1,2,7,2
616,nigeria,26.0,1,3,5,2
617,nigeria,38.0,1,3,7,2
618,nigeria,28.0,1,1,9,2
619,nigeria,18.0,2,1,4,2
620,nigeria,27.0,1,1,4,2
621,nigeria,47.0,1,3,4,2
622,nigeria,24.0,1,1,5,2
623,nigeria,53.0,1,1,10,2
624,nigeria,30.0,2,1,5,2
625,nigeria,37.0,1,1,5,2
626,nigeria,28.0,1,1,6,2
627,nigeria,35.0,1,3,5,2
628,nigeria,24.0,2,1,5,1
629,nigeria,33.0,2,2,5,2
630,nigeria,34.0,2,2,9,2
631,nigeria,20.0,2,1,5,2
632,nigeria,28.0,1,1,3,2
