,country,age,gender,marital_status,education_level,funnel|exposure,funnel|enrollment,funnel|usage_basic,funnel|usage_sophisticated,funnel|usage,funnel|recent,funnel|longevity,funnel|frequent,funnel|retention
210,nigeria,24.0,2,1,10,True,False,False,False,False,False,False,False,False
211,nigeria,30.0,2,3,9,False,False,False,False,False,False,False,False,False
212,nigeria,21.0,1,3,5,False,False,False,False,False,False,False,False,False
213,nigeria,47.0,1,3,5,False,False,False,False,False,False,False,False,False
214,nigeria,41.0,1,3,5,True,False,False,False,False,False,False,False,False
215,nigeria,35.0,2,3,9,False,False,False,False,False,False,False,False,False
216,nigeria,23.0,1,1,5,False,False,False,False,False,False,False,False,False
217,nigeria,20.0,2,1,5,False,False,False,False,False,False,False,False,False
218,nigeria,35.0,1,3,10,False,False,False,False,False,False,False,False,False
219,nigeria,18.0,2,1,5,False,False,False,False,False,False,False,False,False
220,nigeria,20.0,1,1,5,True,False,False,False,False,False,False,False,False
221,nigeria,31.0,1,1,8,True,True,False,False,False,True,False,True,False
222,nigeria,32.0,1,1,8,False,False,False,False,False,False,False,False,False
223,nigeria,20.0,2,1,5,False,False,False,False,False,False,False,False,False
224,nigeria,25.0,2,1,5,False,False,False,False,False,False,False,False,False
225,nigeria,23.0,1,1,10,True,False,False,False,False,False,False,False,False
226,nigeria,21.0,1,1,10,True,False,False,False,False,False,False,False,False
227,nigeria,21.0,1,1,10,True,False,False,False,False,False,False,False,False
228,nigeria,23.0,1,1,10,True,False,False,False,False,False,False,False,False
229,nigeria,48.0,1,2,4,False,False,False,False,False,False,False,False,False
230,nigeria,22.0,1,1,5,False,False,False,False,False,False,False,False,False
231,nigeria,19.0,1,1,6,False,False,False,False,False,False,False,False,False
232,nigeria,25.0,1,1,4,False,False,False,False,False,False,False,False,False
233,nigeria,21.0,2,1,5,False,False,False,False,False,False,False,False,False
234,nigeria,29.0,2,1,5,False,False,False,False,False,False,False,False,False
235,nigeria,32.0,1,1,3,False,False,False,False,False,False,False,False,False
236,nigeria,24.0,1,1,5,False,False,False,False,False,False,False,False,False
